back_legroom,body_type,city,front_legroom,has_accidents,height,horsepower,is_new,latitude,length,longitude,make_name,maximum_seating,mileage,model_name,owner_count,price,width,year
36.5,SUV / Crossover,Youngstown,43.1,NA,63.6,182,1,41.0112,176.5,-80.6341,Subaru,5,6,Crosstrek,NA,28579,71,2021
38.3,Sedan,Fuquay Varina,44.3,NA,58.1,175,1,35.6239,191.7,-78.727,Ford,5,0,Fusion,NA,25988,83.5,2020
36.8,SUV / Crossover,Hodgkins,40.4,FALSE,66.3,240,0,41.7786,178.1,-87.8682,Ford,5,89122,Escape,1,12988,81.8,2013
32.1,SUV / Crossover,Martins Ferry,42.1,FALSE,61.8,188,0,40.0959,162.4,-80.7229,Nissan,5,92110,Juke,1,12995,69.5,2016
38.6,SUV / Crossover,Ontario,40.3,NA,70.9,293,1,34.0522,201.2,-117.545,Dodge,7,2,Durango,NA,30130,85.5,2020
41.1,Minivan,Dearborn,40.9,NA,68.5,276,1,42.2964,201.4,-83.2708,Kia,8,5,Sedona,NA,30380,89.3,2021
37.2,SUV / Crossover,Indianapolis,41,FALSE,72.6,285,0,39.9269,184.9,-86.0994,Jeep,5,30175,Wrangler Unlimited,1,35500,73.7,2017
39.7,SUV / Crossover,Abingdon,40.9,NA,65.4,252,1,39.4748,182.3,-76.3091,GMC,5,0,Terrain,NA,34137,72.4,2020
40.4,SUV / Crossover,Indiana,41.3,NA,66.5,190,1,40.6011,182.1,-79.1918,Honda,5,3,CR-V,NA,28493,73,2020
NA,SUV / Crossover,Rochester,NA,NA,NA,NA,1,43.1301,NA,-77.4948,Land Rover,NA,13,Discovery Sport,NA,42727,NA,2020
40.3,Pickup Truck,Idaho Falls,41,FALSE,77.5,395,0,43.5089,229,-112.023,RAM,6,63711,1500,1,27800,79.4,2017
40.9,Minivan,Norfolk,41.7,TRUE,69.3,242,0,36.8563,202,-76.2252,Kia,7,108909,Sedona,2,5450,78.1,2006
35.1,SUV / Crossover,Moon Township,41.2,NA,66.5,177,1,40.5255,166.6,-80.2117,Jeep,5,10,Renegade,NA,21890,79.6,2020
36.2,Sedan,Willoughby,41.7,NA,57.8,255,1,41.6445,193.8,-81.393,Mercedes-Benz,5,0,E-Class,NA,61025,81.3,2020
38.5,Sedan,Pharr,42.5,FALSE,57.7,185,0,26.2042,192.5,-98.1659,Honda,5,23887,Accord,2,17998,72.8,2017
33.5,Pickup Truck,Tampa,43.9,FALSE,75.5,290,1,28.0391,231.9,-82.4595,Ford,6,27,F-150,NA,31931,96.8,2020
36.7,Pickup Truck,Crystal Lake,40.9,NA,70.8,280,1,42.2491,210,-88.345,Honda,5,5,Ridgeline,NA,43140,78.6,2020
40.3,SUV / Crossover,Las Vegas,41.1,NA,65.7,270,1,36.1437,182,-115.213,Jeep,5,10,Cherokee,NA,21546,73.2,2020
39.5,SUV / Crossover,Stillwater,41.2,FALSE,66,310,0,36.1161,189.5,-97.1234,Cadillac,5,40778,XT5,1,34269,75,2019
38.6,SUV / Crossover,Natick,40.3,NA,69.3,240,1,42.3005,189.8,-71.3557,Jeep,5,0,Grand Cherokee,NA,48825,84.8,2020
33.1,Coupe,Williamstown,42,TRUE,57.1,305,0,39.7005,197.7,-75.0043,Dodge,5,44277,Challenger,3,22245,75.7,2015
40.3,SUV / Crossover,Lake Jackson,41.1,NA,65.7,270,1,29.0489,182,-95.4684,Jeep,5,3,Cherokee,NA,20532,73.2,2020
39.9,SUV / Crossover,Rockford,41.2,FALSE,66.3,301,0,42.2497,185.3,-88.9786,GMC,5,90596,Terrain,2,14195,72.8,2013
NA,SUV / Crossover,Dallas,NA,NA,NA,NA,1,33.8974,NA,-84.8282,Jeep,NA,NA,Grand Cherokee,NA,36734,NA,2020
NA,Van,Pompano Beach,41.4,NA,84.8,276,1,26.2315,224.1,-80.1473,Chevrolet,5,0,Express Cargo,NA,33795,79.3,2020
43.6,Pickup Truck,Norwood,43.9,NA,81.3,385,1,42.1807,250,-71.1895,Ford,6,0,F-350 Super Duty,NA,62499,105.9,2020
35.4,Sedan,Rochester,42.1,FALSE,54.5,210,0,44.0366,195.1,-92.4875,Acura,5,177263,RL,3,3677,71.3,1997
NA,Van,Muscle Shoals,NA,NA,NA,NA,1,34.7351,NA,-87.6681,Ford,NA,21,Transit Cargo,NA,38745,NA,2020
36.5,Sedan,Moline,43.1,NA,57.3,152,1,41.47,182.7,-90.4759,Subaru,5,0,Impreza,NA,27808,79.9,2020
32.9,SUV / Crossover,Egg Harbor Township,41.7,FALSE,71.5,270,0,39.4294,190.2,-74.6014,Toyota,7,41715,4Runner,1,30399,75.8,2019
38.6,SUV / Crossover,Pontiac,40.3,FALSE,69.3,295,0,40.8716,189.8,-88.6665,Jeep,5,16873,Grand Cherokee,2,35462,84.8,2019
37.3,SUV / Crossover,Miami,40.8,FALSE,64.5,241,0,25.9263,183.3,-80.2197,Mercedes-Benz,5,27317,GLC-Class,1,33490,82.5,2018
37.8,SUV / Crossover,Sacramento,41,NA,65.3,248,1,38.6275,183.6,-121.408,Audi,5,10,Q5,NA,46640,84.3,2020
38.3,Sedan,Greensboro,41.6,FALSE,57.5,187,0,36.0619,189.2,-79.8799,Toyota,5,170000,Camry Hybrid,2,5000,71.7,2007
36.2,Sedan,Comstock Park,42.4,FALSE,58.4,283,0,43.0718,191.7,-85.6906,Chrysler,5,66502,200,2,10250,72.5,2013
39.1,SUV / Crossover,Albany,41.2,NA,69.9,310,1,42.7279,198.5,-73.8446,Cadillac,7,5,XT6,NA,62425,77.3,2020
39.5,SUV / Crossover,Indianapolis,42.8,NA,66.1,182,1,39.9269,191.3,-86.1088,Subaru,5,NA,Outback,NA,37433,82,2020
39.9,SUV / Crossover,Lafayette,41.2,FALSE,69.3,182,0,40.3682,187.8,-86.8628,Chevrolet,5,19200,Equinox,1,18599,72.5,2017
33.1,Coupe,Tinley Park,42,NA,57.7,375,1,41.6018,197.9,-87.8213,Dodge,5,NA,Challenger,NA,42154,85.4,2020
33.5,Pickup Truck,Waukee,43.9,NA,77.2,395,1,41.6135,231.9,-93.8443,Ford,6,4,F-150,NA,34549,96.8,2020
37.5,SUV / Crossover,Woonsocket,40.9,FALSE,66.8,252,0,41.9925,183.7,-71.4869,Buick,5,2411,Envision,1,34000,72.4,2020
37.9,SUV / Crossover,Miami,43,NA,68,170,1,25.7836,184.5,-80.3667,Nissan,5,8,Rogue,NA,28985,72.4,2020
38.3,SUV / Crossover,North Olmsted,41.8,NA,64.8,180,1,41.414,173,-81.9266,Jeep,5,12,Compass,NA,21924,80,2020
36.2,Sedan,Huntington Beach,42,FALSE,56.5,143,0,33.7193,179.4,-117.989,Honda,5,78501,Civic,2,12990,69,2015
NA,Pickup Truck,Grayslake,NA,FALSE,NA,NA,0,42.3383,NA,-88.0209,Ford,NA,52421,F-250 Super Duty,1,45945,NA,2014
38,Sedan,Conroe,42.1,FALSE,56.9,206,0,30.3038,192.7,-95.4682,Toyota,5,28539,Camry,1,24748,72.4,2018
45.2,Pickup Truck,Oshkosh,40.9,NA,77.6,395,1,44.0664,232.9,-88.5429,RAM,6,12,1500,NA,51501,82.1,2020
NA,SUV / Crossover,Roswell,NA,FALSE,NA,NA,0,34.0341,NA,-84.3483,Tesla,NA,30899,Model X,1,69786,NA,2017
39.7,SUV / Crossover,Omaha,45.3,FALSE,74.4,355,0,41.2643,224,-96.0872,Chevrolet,8,68042,Suburban,1,39550,80.5,2016
38.2,SUV / Crossover,Burnsville,41.5,NA,65,181,1,44.7367,176.4,-93.2865,Hyundai,5,0,Tucson,NA,26370,72.8,2020
39,SUV / Crossover,Johnson City,41.3,TRUE,76.9,320,0,36.358,202,-82.3849,Chevrolet,8,91528,Tahoe,3,19950,79,2011
38.1,SUV / Crossover,Westminster,41.1,NA,65.3,221,1,39.8861,182.4,-105.068,Mercedes-Benz,7,5,GLB-Class,NA,55239,79.5,2020
32.8,Hatchback,Newark,42.6,TRUE,54.9,104,0,40.7625,166.7,-74.1674,Hyundai,5,73352,Accent,2,2750,65.7,2003
35.6,Sedan,Hartsdale,45.5,FALSE,58.1,185,0,41.0159,191.1,-73.8017,Hyundai,5,74359,Sonata,2,11802,73.4,2017
37.3,SUV / Crossover,Richmond,43.1,FALSE,66.3,245,0,39.2617,178.1,-93.9619,Ford,5,22731,Escape,1,19995,81.8,2017
40.7,SUV / Crossover,Tampa,42.4,NA,66.1,180,1,28.0391,180.5,-82.4595,Ford,5,50,Escape,NA,23641,85.6,2020
37.4,Sedan,Orange,44,NA,56.9,149,1,33.809,182.7,-117.864,Nissan,5,6,Sentra,NA,18177,71.5,2020
43.6,Pickup Truck,Tulsa,43.9,NA,77.2,375,1,36.1149,231.9,-95.9046,Ford,5,3,F-150,NA,59706,96.8,2020
38,Sedan,Pinellas Park,42.1,NA,56.9,203,1,27.8494,192.7,-82.6909,Toyota,5,10,Camry,NA,27264,72.4,2020
43.4,Pickup Truck,Sanger,44.5,FALSE,75.5,355,0,36.7022,231.7,-119.555,Chevrolet,6,5397,Silverado 1500,1,44039,81.2,2019
